model,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,average_precision,threshold,true_negative,false_positive,false_negative,true_positive
XGBoost,0.9039589442815249,0.8185606060606061,0.2119205298013245,0.7272727272727273,0.3282051282051282,0.946849173553719,0.5049990074012045,0.14999999999999997,1201,119,12,32
Random Forest,0.9523460410557185,0.8545454545454545,0.3793103448275862,0.75,0.5038167938931297,0.9436983471074379,0.4862499936815159,0.4649999999999999,1266,54,11,33
Gradient Boosting,0.9193548387096774,0.8265151515151515,0.24615384615384617,0.7272727272727273,0.367816091954023,0.9324552341597797,0.4424676596782776,0.35999999999999993,1222,98,12,32
Logistic Regression,0.905425219941349,0.8193181818181818,0.21476510067114093,0.7272727272727273,0.3316062176165803,0.8696453168044077,0.28991648264811704,0.5249999999999999,1203,117,12,32
